Year,Artist,Position,Plays
2013,Radiohead,1,2
2015,Ratatat,1,679
2015,Radiohead,2,654
2015,Passion Pit,3,598
2015,Modest Mouse,4,554
2015,The Shins,5,537
2015,Cage The Elephant,6,436
2015,Vampire Weekend,7,434
2015,Bright Eyes,8,407
2015,alt-J,9,389
2015,Broken Bells,10,313
2016,The Strokes,1,2739
2016,Radiohead,2,1842
2016,Ratatat,3,1108
2016,Modest Mouse,4,1095
2016,The Shins,5,1030
2016,Death Cab for Cutie,6,1023
2016,Passion Pit,7,967
2016,Bright Eyes,8,749
2016,Cage The Elephant,9,738
2016,alt-J,10,721
2017,Radiohead,1,1959
2017,The Strokes,2,1643
2017,Modest Mouse,3,1257
2017,Ratatat,4,1118
2017,Death Cab for Cutie,5,855
2017,Passion Pit,6,815
2017,The Shins,7,784
2017,The Beatles,8,753
2017,Alex G,9,735
2017,Bright Eyes,10,644
2018,Radiohead,1,1086
2018,Modest Mouse,2,676
2018,The Strokes,3,652
2018,Ratatat,4,547
2018,Young Thug,5,443
2018,The Beatles,6,437
2018,Death Cab for Cutie,7,403
2018,Passion Pit,8,402
2018,The Shins,9,371
2018,Alex G,10,332
2019,Radiohead,1,1319
2019,Modest Mouse,2,668
2019,The Strokes,3,647
2019,Alex G,4,601
2019,Young Thug,5,500
2019,Ratatat,6,471
2019,The Beatles,7,448
2019,Bright Eyes,8,382
2019,Passion Pit,9,366
2019,Vampire Weekend,10,358
2020,Radiohead,1,1083
2020,The Strokes,2,643
2020,Modest Mouse,3,469
2020,Alex G,4,346
2020,Glass Animals,5,339
2020,Young Thug,6,322
2020,Soccer Mommy,7,308
2020,100 gecs,8,297
2020,blink-182,9,292
2020,Elliott Smith,10,276
2021,Radiohead,1,950
2021,Brand New,2,533
2021,The Strokes,3,497
2021,Modest Mouse,4,450
2021,The Beatles,5,384
2021,Jank,6,368
2021,Ratatat,7,358
2021,Pinegrove,8,342
2021,Bright Eyes,9,320
2021,Vampire Weekend,10,305
2022,Radiohead,1,646
2022,Origami Angel,2,628
2022,Flume,3,486
2022,Phoebe Bridgers,4,473
2022,Pinegrove,5,396
2022,The Strokes,6,332
2022,Modest Mouse,7,303
2022,Jank,8,282
2022,Taking Back Sunday,9,280
2022,Jimmy Eat World,10,256
2023,Hot Mulligan,1,1093
2023,Joyce Manor,2,894
2023,Title Fight,3,854
2023,Radiohead,4,717
2023,Brand New,5,469
2023,Pinegrove,6,400
2023,Origami Angel,7,347
2023,Microwave,8,337
2023,Tigers Jaw,9,302
2023,Coheed and Cambria,10,298
2024,Title Fight,1,691
2024,Radiohead,2,553
2024,The Strokes,3,336
2024,Joyce Manor,4,309
2024,Hot Mulligan,5,280
2024,Modest Mouse,6,277
2024,Death Cab for Cutie,7,220
2024,Alex G,8,218
2024,Ratatat,9,207
2024,Pinegrove,10,193
2025,Radiohead,1,28
2025,The Strokes,2,18
2025,Young Thug,3,18
2025,Pinegrove,4,17
2025,The Shins,5,15
2025,Ratatat,6,13
2025,Modest Mouse,7,12
2025,Wool Drive,8,12
2025,Fontaines D.C.,9,10
2025,Vampire Weekend,10,10
